v,ta,td,sa,sd,E,P,¦Ç,¦µ
v60,14,69,0.057510799,0.986204894,55,6,0.94,C
v61,16,90,0.010505497,0.947084998,43,3,0.94,A
v62,8,91,0.012327282,0.944460063,41,3,0.92,B
v63,10,87,0.129163701,0.874931218,35,6,0.99,C
v64,29,93,0.150586955,0.868983346,35,6,0.95,A
v65,3,80,0.16927668,0.965823063,50,5,0.9,B
v66,11,78,0.218189849,0.947938833,46,6,0.96,C
v67,17,91,0.017873269,0.902577465,42,3,0.97,A
v68,3,78,0.263306824,0.929760571,38,5,0.95,B
v69,2,72,0.070668203,0.888363938,30,5,0.92,C
v70,2,83,0.234500461,0.945963972,40,6,0.93,A
v71,3,75,0.219572603,0.854670401,46,3,0.98,B
v72,27,76,0.193175135,0.875212688,42,3,0.9,C
v73,3,82,0.199597734,0.87912055,48,5,0.91,A
v74,8,80,0.221517339,0.868532359,31,5,0.92,B
v75,5,86,0.15209727,0.941067097,36,5,0.95,C
v76,26,95,0.107460405,0.871766705,30,5,0.97,A
v77,7,91,0.087540722,0.933976268,31,3,0.91,B
v78,28,94,0.14203662,0.921507353,49,6,0.97,C
v79,1,94,0.258656468,0.860993168,41,6,0.94,A
v80,7,91,0.040097467,0.943300902,46,4,0.93,B
v81,16,66,0.261336503,0.937809129,33,5,0.99,C
v82,11,89,0.080182604,0.97337329,35,5,0.94,A
v83,16,92,0.087793441,0.852922067,47,5,0.95,B
v84,0,81,0.262367759,0.952224525,32,3,0.98,C
v85,15,60,0.229872512,0.987029066,32,6,0.95,A
v86,28,84,0.297264764,0.927730157,30,5,0.93,B
v87,5,95,0.003390141,0.898090658,40,6,0.95,C
v88,0,86,0.149010397,0.923910127,34,6,0.94,A
v89,18,82,0.238797387,0.941312182,33,3,0.98,B
v90,0,90,0.047314734,0.935314148,45,5,0.91,C
v91,8,83,0.046831971,0.971305737,41,5,0.93,A
v92,4,88,0.112282387,0.944266998,44,3,0.94,B
v93,8,84,0.198539088,0.97671562,49,6,0.93,C
v94,22,72,0.25676329,0.984213603,52,6,1,A
v95,3,76,0.152164645,0.866027069,37,3,1,B
v96,7,68,0.264227487,0.861181368,31,6,0.92,C
v97,3,67,0.290680247,0.998528824,47,4,1,A
v98,10,74,0.121189786,0.995987088,37,3,0.99,B
v99,8,91,0.08033295,0.975759112,42,4,1,C
v100,20,75,0.263459789,0.967852585,52,6,0.98,A
