v,ta,td,sa,sd,E,P,η,Φ,Δ,k
v99,8,91,0.08033295,0.975759112,42,4,1,C,0.023809524,37
v100,20,75,0.263459789,0.967852585,52,6,0.98,A,0.028269231,24
v101,24,78,0.185380012,0.987849038,56,6,0.97,B,0.025982143,30
v102,1,94,0.052632053,0.912758008,42,4,0.91,C,0.021666667,39
v103,23,78,0.283571842,0.855658366,46,5,0.92,A,0.025,22
v104,2,70,0.198244857,0.8917605,54,6,0.97,B,0.026944444,25
v105,8,79,0.004328102,0.918547414,34,3,0.93,C,0.020514706,44
v106,24,95,0.140163908,0.828332246,41,6,0.93,A,0.03402439,20
v107,26,79,0.116936214,0.85014446,40,5,0.92,B,0.02875,25
v108,17,81,0.297250861,0.803616722,35,5,0.98,C,0.035,14
v109,3,90,0.239613085,0.813359887,40,4,1,A,0.025,22
v110,0,87,0.257546808,0.992623869,44,3,0.9,B,0.015340909,47
v111,25,92,0.122472509,0.854242423,45,6,0.94,C,0.031333333,23
v112,1,73,0.136387272,0.943192723,53,5,0.93,A,0.021933962,36
v113,24,85,0.073059766,0.899747654,52,4,0.91,B,0.0175,47
v114,18,78,0.165299196,0.820193775,47,5,0.95,C,0.025265957,25
v115,29,92,0.012330314,0.985908655,50,4,0.93,A,0.0186,52
v116,10,79,0.167964696,0.835029436,32,6,0.95,B,0.04453125,14
v117,29,73,0.120854401,0.979028931,35,5,0.99,C,0.035357143,24
v118,29,74,0.007203819,0.851966005,60,5,0.99,A,0.020625,40
v119,29,84,0.277194428,0.800887267,35,6,0.96,B,0.041142857,12
v120,11,82,0.011037639,0.898725139,50,5,0.98,C,0.0245,36
v121,12,71,0.23900927,0.832506959,50,5,0.97,A,0.02425,24
v122,16,76,0.237287471,0.812159994,32,4,0.91,B,0.0284375,20
v123,26,86,0.016283525,0.880334337,49,3,0.96,C,0.014693878,58
v124,6,93,0.210983659,0.818321517,51,5,0.96,A,0.023529412,25
v125,16,72,0.280713247,0.970738195,56,6,0.95,B,0.025446429,27
v126,13,84,0.21703241,0.99898641,59,3,1,C,0.012711864,61
v127,24,92,0.091552227,0.97672051,39,4,0.97,A,0.024871795,35
v128,1,78,0.21233833,0.804641469,40,5,0.97,B,0.0303125,19
v129,17,75,0.282524453,0.96583948,55,3,0.91,C,0.012409091,55
v130,28,83,0.188632358,0.906965256,31,5,0.92,A,0.037096774,19
v131,3,85,0.083968059,0.918385242,33,3,0.94,B,0.021363636,39
v132,28,84,0.265366335,0.885331511,43,6,0.98,C,0.034186047,18
v133,6,73,0.280049659,0.951449347,35,4,0.99,A,0.028285714,23
v134,9,75,0.204967485,0.95415768,60,5,0.92,B,0.019166667,39
v135,2,84,0.08295347,0.917881971,58,3,0.97,C,0.012543103,66
v136,11,93,0.267338962,0.918649374,50,3,0.9,A,0.0135,48
v137,29,75,0.271852115,0.916501927,57,6,0.92,B,0.024210526,26
v138,7,82,0.235982828,0.917885898,37,4,0.96,C,0.025945946,26
v139,15,75,0.162564823,0.909308055,46,5,0.91,A,0.024728261,30
v140,0,81,0.185172061,0.854688104,56,6,0.91,B,0.024375,27
v141,15,76,0.078841042,0.88951533,58,5,0.97,C,0.020905172,38
v142,18,88,0.040527629,0.867399792,31,4,0.92,A,0.029677419,27
v143,27,95,0.105478198,0.811507721,51,4,0.98,B,0.019215686,36
v144,21,96,0.123123013,0.986352886,33,6,0.99,C,0.045,19
v145,11,94,0.134453842,0.875923772,58,4,0.97,A,0.016724138,44
v146,10,77,0.025137304,0.882417679,39,4,0.92,B,0.023589744,36
v147,25,94,0.046100384,0.901040912,30,4,0.97,C,0.032333333,26
v148,23,95,0.194934973,0.907589287,56,5,0.92,A,0.020535714,34
v149,17,77,0.263811856,0.942280583,41,4,0.9,B,0.02195122,30
v150,10,84,0.127276517,0.976721678,52,3,0.94,C,0.013557692,62
v151,18,71,0.255807029,0.952666621,35,5,0.97,A,0.034642857,20
v152,9,81,0.185582663,0.954725883,51,5,0.99,B,0.024264706,31
v153,16,70,0.073409419,0.852269452,39,4,0.96,C,0.024615385,31
v154,1,90,0.226301044,0.935445001,59,6,0.97,A,0.024661017,28
v155,0,79,0.14978614,0.981155235,35,6,0.99,B,0.042428571,19
v156,18,76,0.292753225,0.949349401,32,3,0.91,C,0.021328125,30
v157,4,79,0.167766388,0.974085614,36,5,0.93,A,0.032291667,24
v158,13,87,0.09695327,0.975511414,36,3,0.93,B,0.019375,45
v159,25,71,0.096640415,0.810536131,41,3,0.94,C,0.017195122,41
v160,12,89,0.287149564,0.932092533,45,4,0.94,A,0.020888889,30
v161,5,83,0.220649565,0.997554407,33,3,0.98,B,0.022272727,34
v162,15,74,0.119178518,0.959897836,39,6,0.99,C,0.038076923,22
v163,30,80,0.259512485,0.967857941,44,6,0.9,A,0.030681818,23
v164,25,90,0.129591227,0.992722601,53,3,0.98,B,0.013867925,62
v165,9,82,0.126662315,0.881614911,41,6,0.92,C,0.033658537,22
v166,0,95,0.107971445,0.986456268,54,5,0.91,A,0.021064815,41
v167,30,91,0.111699801,0.894683645,55,3,0.96,B,0.013090909,59
v168,20,95,0.243018777,0.985303649,42,6,0.99,C,0.035357143,20
v169,9,82,0.060007941,0.86008381,31,4,0.97,A,0.031290323,25
v170,17,94,0.207834221,0.874554873,38,6,0.97,B,0.038289474,17
v171,2,76,0.220320979,0.876844198,53,4,0.9,C,0.016981132,38
v172,13,96,0.103521125,0.960219693,54,4,1,A,0.018518519,46
v173,4,72,0.01915731,0.992236156,43,5,0.96,B,0.027906977,34
v174,16,88,0.15655914,0.963270625,59,3,0.9,C,0.011440678,70
v175,27,96,0.227911309,0.899792093,43,3,0.94,A,0.016395349,40
v176,19,95,0.177772485,0.975477151,56,4,1,B,0.017857143,44
v177,14,89,0.230055025,0.938232874,35,6,0.9,C,0.038571429,18
v178,25,72,0.125791563,0.846586942,55,6,0.95,A,0.025909091,27
v179,8,92,0.004856373,0.861510631,34,6,0.94,B,0.041470588,20
v180,5,84,0.259106893,0.911126875,50,6,0.91,C,0.0273,23
v181,11,79,0.05049523,0.946698745,36,5,0.91,A,0.031597222,28
v182,17,88,0.192176023,0.984842901,31,4,0.97,B,0.031290323,25
v183,20,83,0.13484389,0.875537336,43,3,0.99,C,0.017267442,42
v184,1,71,0.12065984,0.81455054,50,3,0.91,A,0.01365,50
v185,20,75,0.274628699,0.915037046,47,4,0.95,B,0.020212766,31
v186,5,80,0.193778676,0.858985289,32,6,0.97,C,0.04546875,14
v187,23,88,0.128580242,0.85537232,36,3,0.99,A,0.020625,35
v188,27,87,0.062495188,0.883512939,51,4,0.94,B,0.018431373,44
v189,19,76,0.007134696,0.835042841,38,6,0.96,C,0.037894737,21
v190,29,76,0.09163153,0.862953472,41,6,0.92,A,0.033658537,22
v191,20,92,0.206762867,0.865082024,56,4,0.99,B,0.017678571,37
v192,25,80,0.071842532,0.977166204,44,6,0.99,C,0.03375,26
v193,7,91,0.275825069,0.91535844,45,5,0.99,A,0.0275,23
v194,25,86,0.214377267,0.901699265,44,4,0.99,B,0.0225,30
v195,21,94,0.094991369,0.812592625,53,6,0.91,C,0.025754717,27
v196,15,85,0.225649317,0.95086749,38,4,0.9,A,0.023684211,30
v197,28,95,0.051928038,0.898898559,30,4,0.97,B,0.032333333,26
v198,17,81,0.010923396,0.923790695,48,6,0.92,C,0.02875,31
v199,12,78,0.280832709,0.852309785,31,6,0.93,A,0.045,12
v200,16,80,0.240749247,0.997341051,30,4,0.97,B,0.032333333,23
