v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
194,6,87,0.32232932142931925,0.8681889784201232,72,3,0.97,B,0.010104166666666668,54.0
195,1,93,0.28779879244842094,0.8284785551060472,84,3,0.97,C,0.008660714285714285,62.0
196,1,86,0.2715244280018731,0.846985250084957,71,5,0.97,B,0.017077464788732392,33.0
197,3,86,0.34542881866285596,0.8911430456085154,83,4,0.97,C,0.011686746987951807,46.0
198,1,89,0.3225781535489102,0.8591579265448529,72,3,0.99,B,0.010312499999999999,52.0
199,8,88,0.3427093379520277,0.8367960869435798,84,6,0.97,C,0.01732142857142857,28.0
200,7,87,0.3653408004188812,0.8381712751035905,89,5,0.96,B,0.01348314606741573,35.0
201,7,92,0.3668887002985777,0.8964218139856925,86,6,0.96,A,0.016744186046511626,31.0
202,9,94,0.3444921973750241,0.8523990585942339,91,5,0.98,B,0.013461538461538462,37.0
203,4,89,0.31043198225204205,0.836574369927892,77,6,0.97,C,0.018896103896103897,27.0
204,4,90,0.31370732194579387,0.8839781521819655,93,5,0.96,B,0.012903225806451613,44.0
205,9,90,0.35032773624530783,0.8315549077010731,78,6,0.99,C,0.019038461538461535,25.0
206,4,91,0.34714498945336497,0.8189608853106111,76,4,0.95,C,0.012499999999999999,37.0
207,3,92,0.25525679192543516,0.8140695799941197,78,4,0.95,A,0.01217948717948718,45.0
208,6,91,0.3305443890164523,0.8175158965088218,75,6,0.95,A,0.018999999999999996,25.0
209,8,87,0.3172114791845077,0.8932420246530575,87,5,0.97,A,0.013936781609195401,41.0
210,4,87,0.29480065795229726,0.8388239066883797,75,3,0.98,A,0.0098,55.0
211,7,91,0.27911740504360827,0.8778013831114396,81,5,0.98,C,0.015123456790123458,39.0
212,2,95,0.29622516628008816,0.8316079084616792,80,4,0.97,C,0.012125,44.0
213,7,91,0.2555117355048209,0.8378297997781569,85,6,0.96,B,0.016941176470588234,34.0
214,1,94,0.2667667690986837,0.9,75,3,0.99,A,0.009899999999999999,63.0
215,3,86,0.38313185854988097,0.8607694051840286,91,3,0.95,B,0.007829670329670328,61.0
216,5,90,0.38938716001769136,0.8263120157920365,93,3,0.95,B,0.007661290322580644,57.0
217,4,89,0.3065590187953227,0.8150328557261708,90,4,0.97,A,0.010777777777777777,47.0
218,9,86,0.2513516824852548,0.8610318081254769,83,3,0.98,C,0.008855421686746988,68.0
219,1,86,0.30564181885303704,0.8815721661531101,95,6,0.97,C,0.015315789473684211,37.0
220,2,92,0.31005241609490153,0.8715741232893967,75,3,0.99,A,0.009899999999999999,56.0
221,8,90,0.26020987756443775,0.8088031473483356,89,4,0.97,A,0.010898876404494382,50.0
222,7,92,0.30172269893059545,0.8564083040793169,70,4,0.96,C,0.013714285714285714,40.0
223,2,94,0.2804716822429024,0.890562489766879,82,4,0.99,A,0.012073170731707317,50.0
224,6,90,0.312793024359529,0.8785727396727026,70,3,0.95,B,0.010178571428571427,55.0
225,9,94,0.3826461401350182,0.8745664573788016,74,3,0.98,C,0.009932432432432432,49.0
226,2,90,0.3474366716572683,0.8421328695206927,83,6,0.96,C,0.017349397590361446,28.0
227,3,91,0.31399556154974,0.8379188009360194,86,4,0.95,C,0.011046511627906977,47.0
228,5,93,0.3819548854182298,0.835194941128202,79,5,0.99,A,0.015664556962025317,28.0
229,5,90,0.3510543811823863,0.8980889148394468,95,6,0.96,A,0.015157894736842105,36.0
230,2,93,0.3527453869696226,0.8218092407081362,70,3,0.99,B,0.010607142857142857,44.0
231,8,93,0.2976600014313224,0.8417030880120223,81,6,0.95,C,0.01759259259259259,30.0
232,6,87,0.3903833882843516,0.8269793910584482,80,5,0.95,A,0.01484375,29.0
233,6,95,0.2510418568675618,0.8671077439560365,91,6,0.98,C,0.016153846153846154,38.0
234,4,90,0.36214427141175887,0.899337666145023,83,4,0.97,B,0.011686746987951807,45.0
235,2,87,0.35131354252367925,0.8756507506816493,78,4,0.99,A,0.012692307692307692,41.0
236,2,89,0.2605810543373575,0.8426685852930395,71,5,0.96,C,0.016901408450704224,34.0
237,2,95,0.39145648464173205,0.8020341490788895,70,5,0.96,C,0.017142857142857144,23.0
238,4,89,0.3223301435399412,0.8151862800242173,95,4,0.98,B,0.01031578947368421,47.0
239,4,89,0.29142489309750097,0.8886495709388511,90,5,0.95,A,0.013194444444444444,45.0
240,2,94,0.2763300942213705,0.817996151888133,76,6,0.99,A,0.019539473684210523,27.0
241,6,86,0.33936462192623257,0.8812591860657477,82,3,0.96,C,0.008780487804878048,61.0
242,7,88,0.3443289663644116,0.8361096048945771,92,3,0.95,C,0.007744565217391303,63.0
243,6,89,0.281843546697674,0.8479944052469643,91,3,0.99,C,0.00815934065934066,69.0
244,4,94,0.3531579176305408,0.8997523296107532,84,3,0.97,A,0.008660714285714285,63.0
245,5,91,0.307805664980743,0.8606725492425278,88,6,0.99,A,0.016874999999999998,32.0
246,2,87,0.31453955548902146,0.8054552894203701,84,4,0.96,C,0.011428571428571429,42.0
247,9,89,0.37586173711558346,0.8687571809216506,73,4,0.96,C,0.013150684931506848,37.0
248,5,94,0.3861253504421697,0.8190469899344177,80,6,0.96,A,0.018,24.0
249,5,87,0.30415576530987815,0.895846744755157,75,5,0.99,B,0.0165,35.0
250,6,93,0.36764957633342865,0.8433011677992845,89,6,0.99,A,0.016685393258426964,28.0
251,4,91,0.29012728935501175,0.8365094349402833,93,3,0.96,A,0.007741935483870968,70.0
252,4,87,0.3797434506334306,0.8030107933431596,91,3,0.99,B,0.00815934065934066,51.0
253,6,86,0.3957122932176551,0.8884493600918851,94,4,0.98,B,0.010425531914893617,47.0
254,7,87,0.26691654088398686,0.8993014810918476,73,5,0.96,B,0.01643835616438356,38.0
255,9,95,0.34833297883412084,0.8620994252245651,87,3,0.97,A,0.008362068965517241,61.0
256,3,89,0.34146350803861303,0.8164264212474068,74,3,0.99,C,0.010033783783783784,47.0
257,7,94,0.3309227322955992,0.8010452970269192,78,3,0.96,C,0.00923076923076923,50.0
258,7,94,0.32773685076213993,0.8030451429022395,93,3,0.99,B,0.007983870967741934,59.0
259,9,87,0.3033590791127302,0.8931266872113278,92,4,0.98,B,0.010652173913043479,55.0
260,5,91,0.37291225961119,0.8266994712285017,88,3,0.97,C,0.008267045454545456,54.0
261,9,93,0.26175381375215334,0.8238983760930283,77,6,0.98,A,0.01909090909090909,29.0
262,5,92,0.3921744330995192,0.8571355661504356,76,4,0.95,B,0.012499999999999999,37.0
263,3,95,0.34932706985574025,0.8806458028049433,73,5,0.99,C,0.016952054794520548,31.0
264,7,86,0.3481264501187456,0.8609191121775934,71,6,0.96,B,0.02028169014084507,25.0
265,1,92,0.3389294483628873,0.8835243674355797,78,6,0.97,B,0.018653846153846156,29.0
266,7,92,0.3801960131949561,0.8773075139848069,78,6,0.95,C,0.018269230769230767,27.0
267,6,93,0.26664365017908837,0.8107186895122037,77,5,0.96,C,0.015584415584415584,34.0
268,1,88,0.3224699134734782,0.8707212709507589,71,5,0.96,C,0.016901408450704224,32.0
269,5,89,0.4,0.8603396046099332,83,3,0.98,A,0.008855421686746988,51.0
270,6,94,0.31486222846481116,0.8599995900755657,91,3,0.99,C,0.00815934065934066,66.0
271,1,86,0.26051460747299,0.8084131497532367,72,5,0.95,A,0.016493055555555556,33.0
272,8,87,0.2889596771493329,0.8581941732813777,90,6,0.97,A,0.016166666666666666,35.0
273,1,92,0.31340658380628716,0.8025760625017158,80,4,0.96,A,0.012,40.0
274,7,92,0.3917775371928086,0.8134034539072481,71,4,0.95,C,0.013380281690140845,31.0
275,8,90,0.3404004189311753,0.8419473062319799,79,5,0.95,C,0.015031645569620253,33.0
276,5,88,0.3163840348741705,0.8077672362644148,90,6,0.95,A,0.01583333333333333,31.0
277,4,91,0.39019450890797824,0.8040562744849221,93,6,0.99,C,0.015967741935483868,25.0
278,4,89,0.34180853710533937,0.8118482965905747,87,5,0.99,B,0.014224137931034483,33.0
279,7,88,0.30193945244694176,0.8143551930184909,88,6,0.96,A,0.01636363636363636,31.0
280,8,94,0.2802577863301278,0.8828696932629161,93,4,0.98,A,0.010537634408602151,57.0
281,3,93,0.34864318503954556,0.8959198848920286,93,4,0.96,A,0.01032258064516129,53.0
282,7,86,0.3021117438933637,0.8601842560412764,86,4,0.98,A,0.011395348837209301,48.0
283,6,86,0.29098905461564933,0.8978074388205066,71,5,0.95,B,0.016725352112676055,36.0
284,6,86,0.3808565624757124,0.8209269362734235,76,4,0.96,B,0.01263157894736842,34.0
285,2,86,0.3016289128580639,0.8808404592832266,94,6,0.98,A,0.015638297872340425,37.0
286,8,90,0.25771799168594195,0.8885850107061896,84,4,0.96,A,0.011428571428571429,55.0
287,3,86,0.39244014714776465,0.8607432892072864,71,3,0.98,C,0.010352112676056338,45.0
288,6,91,0.30438177521380677,0.8803758336376992,92,5,0.99,A,0.01345108695652174,42.0
289,4,88,0.3972718571007018,0.854061334492932,93,5,0.95,C,0.012768817204301076,35.0
290,2,87,0.351339304022806,0.8206373743167681,95,3,0.97,A,0.007657894736842106,61.0
291,5,92,0.34047390527042354,0.8802687799909817,83,4,0.99,A,0.011927710843373494,45.0
292,9,90,0.28287643925003236,0.8996513707357114,79,4,0.96,B,0.012151898734177215,50.0
293,4,93,0.3071533416302801,0.8987759977600571,75,5,0.99,A,0.0165,35.0
294,6,92,0.2659725677976654,0.815598426159594,77,5,0.95,B,0.015422077922077922,35.0
295,1,88,0.2814617386601426,0.8674062945971897,90,3,0.99,A,0.008249999999999999,71.0
296,8,89,0.2952680613768154,0.8117015787101793,76,5,0.97,A,0.01595394736842105,32.0
297,3,88,0.2768175012104889,0.8182697135102812,94,5,0.95,C,0.012632978723404254,42.0
298,6,89,0.3239770710336347,0.8007068783671571,94,4,0.99,C,0.01053191489361702,45.0
