v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
108,8,87,0.3122098958167677,0.8466392363673452,70,4,0.97,B,0.013857142857142856,38.0
109,8,88,0.4,0.8723396720279442,83,3,0.98,B,0.008855421686746988,53.0
110,1,90,0.2677727812784786,0.8203723034692312,90,3,0.97,B,0.008083333333333333,68.0
111,3,94,0.31043763095574095,0.8293035747233222,85,5,0.97,C,0.01426470588235294,36.0
112,1,93,0.26414976831803416,0.8630020849962647,86,3,0.98,B,0.008546511627906976,70.0
113,6,87,0.33888951445736265,0.8569174758921727,84,3,0.99,C,0.008839285714285713,58.0
114,4,88,0.2806052285644978,0.8827288469228609,89,4,0.96,A,0.010786516853932584,55.0
115,7,86,0.3768163384467931,0.835813712862803,84,6,0.98,C,0.017499999999999998,26.0
116,4,91,0.31544135525611433,0.8539546425206446,90,6,0.97,B,0.016166666666666666,33.0
117,7,90,0.39068738399621206,0.8415984862152486,91,6,0.96,A,0.015824175824175824,28.0
118,4,89,0.2613441992033844,0.8348210623667439,92,6,0.97,A,0.01581521739130435,36.0
119,3,87,0.31438250249017974,0.811274739652529,72,5,0.96,C,0.016666666666666666,29.0
120,4,95,0.3995144362384563,0.8935093914076542,76,6,0.97,A,0.019144736842105263,25.0
121,9,89,0.32320524453859,0.8679331139686767,75,4,0.99,C,0.0132,41.0
122,8,89,0.31679658591601806,0.8716223387454546,85,5,0.96,C,0.014117647058823528,39.0
123,8,86,0.3370899882800309,0.8930762524398717,75,4,0.98,C,0.013066666666666666,42.0
124,7,87,0.25615101125281203,0.8807980266211128,83,6,0.98,A,0.017710843373493976,35.0
125,8,94,0.3853885702037406,0.8703519018394574,94,4,0.98,A,0.010425531914893617,46.0
126,6,95,0.30104675395383984,0.840642670850477,70,3,0.95,C,0.010178571428571427,53.0
127,2,92,0.3582668121010737,0.8906350029308322,78,4,0.99,A,0.012692307692307692,41.0
128,7,87,0.39970950074945877,0.8055842469459635,88,4,0.99,A,0.01125,36.0
129,9,90,0.32433619486562937,0.8698326874214326,91,6,0.99,C,0.01631868131868132,33.0
130,6,93,0.2624644754123366,0.8713127336926015,89,5,0.96,C,0.01348314606741573,45.0
131,1,92,0.2902163225779636,0.8954908377358825,70,6,0.99,A,0.021214285714285713,28.0
132,2,92,0.2995625955164921,0.8178404863174814,79,3,0.97,B,0.009208860759493672,56.0
133,6,91,0.3619769112291841,0.858382193307215,85,6,0.95,C,0.01676470588235294,29.0
134,3,95,0.3856991777688761,0.8658355083130753,94,5,0.96,C,0.01276595744680851,37.0
135,2,88,0.2526055310695583,0.8616199543018376,75,5,0.99,B,0.0165,36.0
136,2,91,0.3784391351746974,0.8902381300163749,92,4,0.95,B,0.010326086956521738,49.0
137,5,87,0.25253050107120933,0.8851232867260755,71,5,0.99,B,0.017429577464788733,36.0
138,8,94,0.3868766131114362,0.8361418260971312,90,5,0.95,B,0.013194444444444444,34.0
139,8,87,0.3840078091335857,0.8845534284193557,91,4,0.99,A,0.01087912087912088,46.0
140,2,95,0.2641561987404772,0.8278414579068895,81,3,0.98,A,0.009074074074074075,62.0
141,7,92,0.39435531692084524,0.8022252048006925,80,5,0.98,B,0.015312500000000001,26.0
142,2,95,0.2799414390576418,0.8263957633382585,78,5,0.97,C,0.015544871794871793,35.0
143,6,88,0.3563507099486679,0.8877760121874166,72,6,0.99,C,0.020624999999999998,25.0
144,3,90,0.3355879667125083,0.8221272773657348,92,4,0.97,A,0.010543478260869566,46.0
145,3,95,0.3121844380845723,0.8575072389357945,80,5,0.99,A,0.01546875,35.0
146,4,88,0.31909091807939616,0.8087334301592656,73,5,0.98,A,0.01678082191780822,29.0
147,3,94,0.2894319794452088,0.872034016285385,71,5,0.95,B,0.016725352112676055,34.0
148,4,86,0.2611401954960699,0.8405353498780189,93,6,0.97,A,0.015645161290322583,37.0
149,4,87,0.336353285354401,0.8382147984856988,83,3,0.98,A,0.008855421686746988,56.0
150,6,87,0.2501009756658663,0.8806498071671183,89,3,0.95,A,0.00800561797752809,78.0
151,9,95,0.363826846984082,0.8532637960581031,71,6,0.98,C,0.020704225352112676,23.0
152,2,86,0.3720598170082264,0.8100671952593331,80,6,0.96,A,0.018,24.0
153,8,91,0.329461488338878,0.8355439398281358,94,6,0.99,A,0.01579787234042553,32.0
154,3,90,0.3673331534004417,0.8112776473023279,73,3,0.99,C,0.010171232876712328,43.0
155,2,89,0.29841327345330093,0.8317415862601144,74,3,0.97,C,0.009831081081081081,54.0
156,6,93,0.26577215433165224,0.8584093304258259,82,5,0.96,A,0.014634146341463414,40.0
157,6,90,0.34236301171251204,0.8292366842679952,84,3,0.95,C,0.008482142857142856,57.0
158,2,93,0.370979452151206,0.8178305036558722,80,4,0.97,C,0.012125,36.0
159,9,93,0.3832227273472139,0.8084466945555594,82,5,0.99,A,0.015091463414634148,28.0
160,6,95,0.3622233048885016,0.8315326751943589,83,5,0.99,B,0.014909638554216868,31.0
161,9,86,0.31084482728791085,0.8653498983389272,72,5,0.98,B,0.01701388888888889,32.0
162,1,91,0.31772572220115447,0.8297600592809127,84,6,0.98,B,0.017499999999999998,29.0
163,9,87,0.3819696909064983,0.8354696878346481,87,6,0.96,C,0.016551724137931035,27.0
164,5,86,0.390676094700755,0.8177288023213305,86,3,0.98,B,0.008546511627906976,49.0
165,2,86,0.3275844834188152,0.8433153425049926,78,5,0.95,C,0.015224358974358974,33.0
166,5,94,0.39523838211108453,0.839487213338165,75,4,0.96,C,0.012799999999999999,34.0
167,6,92,0.3007492862159766,0.8075871189215175,73,5,0.96,C,0.01643835616438356,30.0
168,3,94,0.35733185317816996,0.8490724472885844,79,5,0.96,A,0.015189873417721518,32.0
169,2,94,0.253903960875385,0.8491457366076606,80,3,0.98,C,0.0091875,64.0
170,8,86,0.37076375530589384,0.8239597513021899,76,3,0.97,C,0.009572368421052631,47.0
171,1,95,0.37580976910003433,0.8379776997463876,70,4,0.98,C,0.014,33.0
172,4,88,0.3900004450055678,0.8652692321618581,72,6,0.96,B,0.02,23.0
173,4,86,0.36964415942175044,0.8579495059091845,84,6,0.97,A,0.01732142857142857,28.0
174,1,90,0.2809377834778513,0.8540945026691734,82,3,0.97,A,0.008871951219512196,64.0
175,6,88,0.34115281902024697,0.8255483521467718,91,4,0.95,B,0.010439560439560439,46.0
176,9,88,0.32127338220526014,0.8590990000311225,93,6,0.99,A,0.015967741935483868,33.0
177,1,91,0.28457519509301943,0.809387792511209,71,3,0.96,A,0.010140845070422535,51.0
178,8,87,0.3316917058180559,0.8249045201153723,82,6,0.99,B,0.018109756097560974,27.0
179,3,88,0.36472862283974317,0.8473971893348207,80,5,0.95,B,0.01484375,32.0
180,2,90,0.3211111222894283,0.8286232380374506,71,6,0.95,A,0.020070422535211265,25.0
181,3,95,0.28294692006354527,0.83420028304999,83,6,0.96,A,0.017349397590361446,31.0
182,8,94,0.3321169895727401,0.8839461750747524,79,6,0.96,A,0.018227848101265823,30.0
183,8,89,0.3210094236569657,0.8229918391593822,85,3,0.98,A,0.008647058823529412,58.0
184,9,89,0.39075471865895467,0.8379470939923709,88,5,1.0,C,0.014204545454545454,31.0
185,2,86,0.3492228146532788,0.8341840369255042,71,5,0.96,B,0.016901408450704224,28.0
186,2,87,0.3146392100306838,0.8962968860430472,71,3,0.98,C,0.010352112676056338,56.0
187,2,91,0.3523809621626872,0.8606189373915522,88,5,0.99,A,0.0140625,36.0
188,8,92,0.36908855396952367,0.8888091431016285,73,6,0.95,A,0.019520547945205476,26.0
189,5,92,0.3999492246492506,0.8754673462112686,95,3,0.95,C,0.007499999999999999,63.0
190,7,90,0.26884661576079566,0.8755662611270928,78,5,0.95,C,0.015224358974358974,39.0
191,8,87,0.2977962706984825,0.8703394510928739,92,6,0.96,A,0.015652173913043476,36.0
192,4,86,0.2969658919916563,0.8277324803477177,94,3,0.95,C,0.007579787234042552,70.0
193,6,90,0.3194121817659202,0.8084408399280654,89,6,0.98,B,0.016516853932584268,29.0
194,3,89,0.3172580474879755,0.8620436985884841,79,4,0.97,B,0.012278481012658228,44.0
195,4,89,0.37438265579512575,0.8075407744007798,84,6,0.98,A,0.017499999999999998,24.0
196,3,86,0.29220004215350165,0.8727111620979118,84,3,0.95,B,0.008482142857142856,68.0
197,1,87,0.32842083559939594,0.8731578818655829,73,5,0.97,A,0.016609589041095888,32.0
198,8,89,0.27941833243909814,0.8183647577671583,93,5,0.99,C,0.013306451612903227,40.0
199,4,89,0.37359957615137535,0.8641806213516942,83,4,0.96,A,0.011566265060240964,42.0
